Task_ID,Model,Layer,Compute,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes)
heavy_1,PretrainedResNet18,"void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,_5x_cudnn_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,GPU-0-CPU-1,0.0,0.0,0.0,0,0,0.0,0
heavy_1,PretrainedResNet18,resnet18_layer1_1_bn1,GPU-0-CPU-1,193.63900000000012,455.71900000000005,0.0,0,0,455.71900000000005,0
heavy_1,PretrainedResNet18,resnet18_layer1_1_relu_1,GPU-0-CPU-1,217.67900000001282,646.0090000000055,0.0,0,0,646.0090000000055,0
heavy_1,PretrainedResNet18,resnet18_layer1_1_relu,GPU-0-CPU-1,233.04899999998543,428.32999999999265,0.0,0,0,428.32999999999265,0
heavy_1,PretrainedResNet18,resnet18_layer1_1_conv2,GPU-0-CPU-1,180.00100000000293,428.66400000000067,0.0,0,0,428.66400000000067,0
heavy_1,PretrainedResNet18,resnet18_layer1_1_bn2,GPU-0-CPU-1,201.31900000000132,460.65799999999854,0.0,0,0,460.65799999999854,0
heavy_1,PretrainedResNet18,add_1,GPU-0-CPU-1,122.83000000000447,211.03600000000188,0.0,0,0,211.03600000000188,0
heavy_1,PretrainedResNet18,resnet18_layer2_0_conv1,GPU-0-CPU-1,233.5900000000065,513.3200000000015,0.0,0,0,513.3200000000015,0
heavy_1,PretrainedResNet18,resnet18_layer2_0_bn1,GPU-0-CPU-1,204.51399999999467,494.08999999999924,0.0,0,0,494.08999999999924,0
heavy_1,PretrainedResNet18,resnet18_layer2_0_relu_1,GPU-0-CPU-1,225.50800000000254,644.4209999999994,0.0,0,0,644.4209999999994,0
heavy_1,PretrainedResNet18,resnet18_layer2_0_relu,GPU-0-CPU-1,227.9290000000019,418.9129999999968,0.0,0,0,418.9129999999968,0
heavy_1,PretrainedResNet18,resnet18_layer2_0_conv2,GPU-0-CPU-1,189.22899999999754,489.1760000000022,0.0,0,0,489.1760000000022,0
